Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2D2GISPz94aFg526x54sfH,"El Amor de Mi Vida","Sentimientos","Camilo Sesto",1978-01-02,330666,66,false,julianchy,2026-02-23T01:14:56Z,"bolero","Ariola",0.269,0.302,4,-9.861,0,0.0302,0.706,0.000061,0.121,0.125,96.739,4
spotify:track:0zBMkG5wU2nmIyJnUwzqSP,"Celia","Leo Dan","Leo Dan",1963-10-31,110373,59,false,julianchy,2026-02-23T01:15:02Z,"ranchera,bolero,mariachi","Columbia",0.618,0.505,4,-7.005,1,0.0248,0.687,0,0.305,0.791,106.132,4
spotify:track:1B7A6h3mQ1UsWIlryDgUjT,"Donde Estés, Con Quien Estés","Amaneciendo","Camilo Sesto",1982-01-02,277266,65,false,julianchy,2026-02-23T01:15:06Z,"bolero","Ariola",0.369,0.637,0,-4.638,1,0.0382,0.661,0.0153,0.115,0.219,74.429,4
spotify:track:4os2bpWIC7YU2FOFdsSSpN,"Fresa Salvaje","Solo un Hombre","Camilo Sesto",1972-01-02,158133,45,false,julianchy,2026-02-23T01:15:08Z,"bolero","Ariola",0.631,0.649,6,-5.718,1,0.0382,0.582,0.0000603,0.29,0.858,121.517,4
spotify:track:588L3T9VgPngwtXUiFWnf6,"¿Qué Pasará Mañana?","Entre El Agua Y El Fuego","José Luis Perales",1982-02-28,211000,70,false,julianchy,2026-02-23T01:15:11Z,"trova,villancicos","Parlophone Spain",0.608,0.522,2,-13.044,0,0.0332,0.35,0,0.294,0.82,130.855,4
spotify:track:0WFatRyMXS4JVP9jSfO1Fe,"Me Llamas","Tiempo de otoño","José Luis Perales",1979,275066,71,false,julianchy,2026-02-23T01:15:14Z,"trova,villancicos","WM Spain",0.711,0.684,2,-7.186,1,0.0286,0.256,0.000264,0.304,0.76,124.851,4
spotify:track:5JptA6ilRyfYh7af1F0FZC,"Le Llamaban Loca","Originales (20 Exitos)","José Luis Perales",1986,231493,46,false,julianchy,2026-02-23T01:15:20Z,"trova,villancicos","Sony Special Marketing",0.6,0.645,0,-6.019,1,0.0272,0.25,0.00000144,0.0958,0.149,114.082,4
spotify:track:6Tnnk7MAnZiDx67DJN2hnx,"Mi gran noche","Digan Lo Que Digan: Banda Sonora Original De La Pe","Raphael",1967-12-30,180866,65,false,julianchy,2026-02-23T01:15:23Z,"villancicos","Parlophone Spain",0.645,0.653,9,-7.183,1,0.0629,0.579,0,0.0726,0.868,138.498,4
spotify:track:6ljWmeDCoqgIFOVKVmKEmu,"Como Tu Mujer","Como Tu Mujer","Rocío Dúrcal",1991-06-10,262706,74,false,julianchy,2026-02-23T01:15:27Z,"mariachi,ranchera,bolero","Ariola",0.638,0.528,11,-8.786,1,0.0234,0.222,0.0000243,0.076,0.613,96.053,4
spotify:track:2nejvFyJeTDtMRP2nUMt0J,"Abrázame Muy Fuerte","Abrázame Muy Fuerte","Juan Gabriel",2000-12-12,239426,80,false,julianchy,2026-02-23T01:15:30Z,"mariachi,ranchera,bolero,música mexicana","Ariola",0.515,0.387,4,-7.343,0,0.0567,0.689,0,0.126,0.312,135.739,4
spotify:track:7fYr68C6tRUsGIym4poraT,"Ya Te Olvidé","Como Tu Mujer","Rocío Dúrcal",1991-06-10,178426,66,false,julianchy,2026-02-23T01:15:33Z,"mariachi,ranchera,bolero","Ariola",0.511,0.463,1,-9.302,0,0.028,0.332,0.00000229,0.106,0.289,95.996,4
spotify:track:4vmMpLsykUkIZ445IOA4tc,"Con el Viento a Tu Favor","Rasgos","Camilo Sesto",1977-01-02,186733,60,false,julianchy,2026-02-23T01:15:37Z,"bolero","Ariola",0.635,0.548,5,-7.097,0,0.0301,0.603,0,0.394,0.812,81.606,4
spotify:track:6lZ2Qk3WcmrG4iDmaEqpvH,"Él Me Mintió","El Sonido Vol. 1","Amanda Miguel",1981-01-01,221626,76,false,julianchy,2026-02-23T01:15:39Z,"","DIAM Music",0.314,0.679,9,-3.922,0,0.0442,0.0596,0.0000113,0.158,0.257,204.76,4
spotify:track:1wXcuaEgq2oUYiugHjd46X,"Todo por Nada","Camilo Sesto - Algo Mas","Camilo Sesto",1973-01-02,201533,50,false,julianchy,2026-02-23T01:15:47Z,"bolero","Ariola",0.319,0.513,2,-6.838,1,0.0434,0.75,0.000396,0.215,0.51,151.154,4
spotify:track:0hTao6s03MkTStWfxAmnGk,"Así No Te Amará Jamás","El Sonido Vol. 1","Amanda Miguel",1981-01-01,171486,76,false,julianchy,2026-02-23T01:16:04Z,"","DIAM Music",0.658,0.843,3,-4.158,0,0.0583,0.538,0,0.0669,0.547,130.697,4
spotify:track:4FdwRmlzP5KGM7OewGBYiu,"Olvídame y Pega la Vuelta","Pimpinela","Pimpinela",1982-07-15,185800,69,false,julianchy,2026-02-23T01:16:07Z,"","Columbia",0.485,0.838,8,-5.759,1,0.181,0.454,0,0.691,0.571,76.693,4
